epoch,step,train_c_logit_mean,train_c_logit_std,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
0,9,,,,0.7070546746253967,,28.70870590209961,,28.001651763916016,,,
0,12,0.06108468770980835,0.16443322598934174,,,,,,,0.7220970988273621,10.679898262023926,9.95780086517334
0,12,,,0.6935971975326538,,30.13251304626465,,29.438919067382812,,,,
1,19,,,,0.7120720148086548,,21.52116584777832,,20.809093475341797,,,
1,25,-0.07841024547815323,0.2625649571418762,,,,,,,0.6572993397712708,20.942384719848633,20.285085678100586
1,25,,,0.6939643025398254,,20.823394775390625,,20.129432678222656,,,,
2,29,,,,0.6557469367980957,,17.506649017333984,,16.850902557373047,,,
2,38,-0.1843111515045166,0.24869701266288757,,,,,,,0.6216641068458557,15.069186210632324,14.447522163391113
2,38,,,0.6263387799263,,15.620610237121582,,14.994271278381348,,,,
3,39,,,,0.6291874647140503,,8.402976989746094,,7.773789405822754,,,
3,49,,,,0.6242486834526062,,7.242137908935547,,6.617889404296875,,,
3,51,-0.30860432982444763,0.3882046937942505,,,,,,,0.5801075100898743,18.120851516723633,17.540742874145508
3,51,,,0.6240113377571106,,9.517108917236328,,8.893097877502441,,,,
4,59,,,,0.6308482885360718,,10.208352088928223,,9.57750415802002,,,
4,64,-0.1643185168504715,0.24539318680763245,,,,,,,0.6217339038848877,11.405866622924805,10.78413200378418
4,64,,,0.6118519306182861,,10.969711303710938,,10.357860565185547,,,,
5,69,,,,0.6441522836685181,,4.538649559020996,,3.8944973945617676,,,
5,77,-0.4521470367908478,0.405449777841568,,,,,,,0.5176904797554016,10.398283004760742,9.880592346191406
5,77,,,0.6261578798294067,,6.766408920288086,,6.1402506828308105,,,,
6,79,,,,0.5419493317604065,,3.012516498565674,,2.470567226409912,,,
6,89,,,,0.4748765826225281,,3.5260379314422607,,3.051161289215088,,,
6,90,-0.9759705066680908,0.8154556751251221,,,,,,,0.4012607932090759,16.9008731842041,16.499614715576172
6,90,,,0.5328884124755859,,7.194357395172119,,6.661469459533691,,,,
7,99,,,,0.4958329498767853,,6.334411144256592,,5.838578224182129,,,
7,103,-0.8403304815292358,0.8176314830780029,,,,,,,0.43710997700691223,11.817695617675781,11.380585670471191
7,103,,,0.47380974888801575,,7.601011753082275,,7.127202987670898,,,,
8,109,,,,0.4653240144252777,,2.114905595779419,,1.6495815515518188,,,
8,116,-0.9847628474235535,0.9672865867614746,,,,,,,0.41865941882133484,16.56538200378418,16.1467227935791
8,116,,,0.4712444841861725,,5.446733474731445,,4.975489139556885,,,,
9,119,,,,0.421846866607666,,2.731224775314331,,2.309377908706665,,,
9,129,,,,0.4729449152946472,,0.4729449152946472,,4.472606252053381e-24,,,
9,129,-1.3821302652359009,1.2450567483901978,,,,,,,0.35051897168159485,12.34602165222168,11.995503425598145
9,129,,,0.4507056176662445,,5.969895362854004,,5.51918888092041,,,,
10,139,,,,0.4555550515651703,,1.0316976308822632,,0.5761426091194153,,,
10,142,-1.9177520275115967,1.9524363279342651,,,,,,,0.321975439786911,19.086544036865234,18.764568328857422
10,142,,,0.4168225824832916,,4.036762714385986,,3.6199402809143066,,,,
11,149,,,,0.43681326508522034,,4.994936943054199,,4.558123588562012,,,
11,155,-2.0229744911193848,2.1609628200531006,,,,,,,0.3186531066894531,16.076311111450195,15.757658004760742
11,155,,,0.40791070461273193,,3.409327983856201,,3.0014169216156006,,,,
12,159,,,,0.3750308156013489,,1.9251015186309814,,1.5500707626342773,,,
12,168,-2.5728914737701416,2.3785109519958496,,,,,,,0.2714468240737915,14.054855346679688,13.783407211303711
12,168,,,0.3713199198246002,,2.4985742568969727,,2.1272544860839844,,,,
13,169,,,,0.4090702533721924,,2.8691933155059814,,2.460123062133789,,,
13,179,,,,0.40875616669654846,,0.8441325426101685,,0.4353764057159424,,,
13,181,-3.1506664752960205,2.8293933868408203,,,,,,,0.2504350543022156,21.55766487121582,21.307231903076172
13,181,,,0.39424362778663635,,3.8169732093811035,,3.4227294921875,,,,
14,189,,,,0.37863561511039734,,2.086359739303589,,1.7077240943908691,,,
14,194,-2.272460699081421,1.9628772735595703,,,,,,,0.2708328664302826,12.570671081542969,12.299838066101074
14,194,,,0.40315237641334534,,6.977992057800293,,6.574840545654297,,,,
15,199,,,,0.3580247461795807,,7.419890403747559,,7.06186580657959,,,
15,207,-2.5922486782073975,2.349055767059326,,,,,,,0.27064359188079834,21.795320510864258,21.524677276611328
15,207,,,0.3720492422580719,,5.374606132507324,,5.002557277679443,,,,
16,209,,,,0.3826456665992737,,5.977812767028809,,5.59516716003418,,,
16,219,,,,0.849486768245697,,9.7103271484375,,8.860840797424316,,,
16,220,-0.2043895721435547,1.5745240449905396,,,,,,,0.7976244688034058,35.976654052734375,35.17903137207031
16,220,,,0.5587744116783142,,7.372300148010254,,6.813525676727295,,,,
17,229,,,,0.7699940204620361,,60.78351593017578,,60.01352310180664,,,
17,233,0.4758315682411194,1.6272704601287842,,,,,,,1.1371362209320068,26.375051498413086,25.237916946411133
17,233,,,1.0248271226882935,,9.839244842529297,,8.814417839050293,,,,
18,239,,,,0.9432896375656128,,5.208837509155273,,4.265547752380371,,,
18,246,-0.3466147482395172,0.7805798649787903,,,,,,,0.6206752061843872,15.060030937194824,14.439355850219727
18,246,,,0.8776879906654358,,6.771543502807617,,5.893857479095459,,,,
19,249,,,,0.6194057464599609,,5.212058067321777,,4.592652320861816,,,
19,259,,,,0.38254910707473755,,0.38254910707473755,,0.0,,,
19,259,-1.0525085926055908,1.0542855262756348,,,,,,,0.4324299991130829,28.25324058532715,27.82081413269043
19,259,,,0.6104344129562378,,4.614509105682373,,4.004074573516846,,,,
20,269,,,,0.49695369601249695,,3.1954760551452637,,2.6985223293304443,,,
20,272,-1.4642105102539062,1.1844313144683838,,,,,,,0.3478032052516937,36.22523880004883,35.87743377685547
20,272,,,0.4770246744155884,,3.471337080001831,,2.9943127632141113,,,,
21,279,,,,0.5465367436408997,,7.466198444366455,,6.919661521911621,,,
21,285,-0.8198051452636719,0.9095655679702759,,,,,,,0.453605055809021,13.762280464172363,13.308675765991211
21,285,,,0.4363998472690582,,5.801675796508789,,5.365277290344238,,,,
22,289,,,,0.45264196395874023,,3.124098777770996,,2.671456813812256,,,
22,298,-1.367732286453247,1.180707335472107,,,,,,,0.34807080030441284,19.64000129699707,19.29193115234375
22,298,,,0.4533708691596985,,4.466163158416748,,4.012792110443115,,,,
23,299,,,,0.4254467785358429,,11.322867393493652,,10.897420883178711,,,
23,309,,,,0.45928460359573364,,4.113699913024902,,3.6544151306152344,,,
23,311,-1.0104467868804932,1.134743332862854,,,,,,,0.4242371618747711,26.592660903930664,26.168424606323242
23,311,,,0.4644017219543457,,4.5924248695373535,,4.12802267074585,,,,
