train_concept_loss_step,epoch,step,val_concept_loss,train_concept_loss_epoch
0.4087200164794922,0,9,,
,0,12,0.5090372562408447,
,0,12,,0.5129669308662415
0.2594399154186249,1,19,,
,1,25,0.26123228669166565,
,1,25,,0.2524588108062744
0.13055188953876495,2,29,,
,2,38,0.20915363729000092,
,2,38,,0.17322233319282532
0.13043515384197235,3,39,,
0.10316447913646698,3,49,,
,3,51,0.19925640523433685,
,3,51,,0.14228376746177673
0.13219621777534485,4,59,,
,4,64,0.2004004716873169,
,4,64,,0.12125737965106964
0.08691196143627167,5,69,,
,5,77,0.20930150151252747,
,5,77,,0.11150691658258438
0.0794711783528328,6,79,,
0.0787815973162651,6,89,,
,6,90,0.2070978581905365,
,6,90,,0.10080215334892273
0.15895503759384155,7,99,,
,7,103,0.20403742790222168,
,7,103,,0.09364002197980881
0.08721551299095154,8,109,,
,8,116,0.2107287049293518,
,8,116,,0.08677618950605392
0.08400923758745193,9,119,,
0.0686814934015274,9,129,,
,9,129,0.2170601636171341,
,9,129,,0.08031995594501495
0.07480473071336746,10,139,,
,10,142,0.21272288262844086,
,10,142,,0.07534468919038773
0.09678877145051956,11,149,,
,11,155,0.21057800948619843,
,11,155,,0.06884390860795975
0.07156658172607422,12,159,,
,12,168,0.20997895300388336,
,12,168,,0.06734917312860489
0.04231638461351395,13,169,,
0.07836317270994186,13,179,,
,13,181,0.23043334484100342,
,13,181,,0.06664638221263885
0.05034911632537842,14,189,,
,14,194,0.21726404130458832,
,14,194,,0.06736313551664352
0.06814099848270416,15,199,,
,15,207,0.21391336619853973,
,15,207,,0.06014180928468704
0.05686057731509209,16,209,,
0.0647122785449028,16,219,,
,16,220,0.21305817365646362,
,16,220,,0.05763150751590729
0.06217043846845627,17,229,,
,17,233,0.21421806514263153,
,17,233,,0.056170035153627396
0.053519342094659805,18,239,,
,18,246,0.21855585277080536,
,18,246,,0.05273378640413284
0.03007662296295166,19,249,,
0.03775600716471672,19,259,,
,19,259,0.21936020255088806,
,19,259,,0.05520553141832352
0.04390973970293999,20,269,,
,20,272,0.21883876621723175,
,20,272,,0.052063267678022385
0.02746191807091236,21,279,,
,21,285,0.21694926917552948,
,21,285,,0.051241226494312286
0.09946684539318085,22,289,,
,22,298,0.21912074089050293,
,22,298,,0.04723937064409256
0.06278588622808456,23,299,,
0.05424966290593147,23,309,,
,23,311,0.2233356386423111,
,23,311,,0.04541458934545517
